name,locality,cuisine,all_cuisines,price_for_two,rating,votes,restaurant_type,veg_only,distance_km
Kamat Restaurant,City Market,South Indian,"South Indian, North Indian, Chinese, Desserts, Juices",400,3.6,31,Casual Dining,True,11.7
Smoke - The Sizzler House,Bellandur,Continental,"Continental, Chinese, Thai, BBQ, Steak",900,3.3,4,Casual Dining,False,1.6
Svadu Sweets & Savouries,BTM,Street Food,"Street Food, Mithai",200,3.7,26,"Quick Bites, Sweet Shop",True,4.1
China Down Town,Koramangala 4th Block,Chinese,Chinese,800,3.5,5,Casual Dining,True,1.6
The Lantern Restaurant & Bar - The Ritz-Carlton...,Residency Road,Chinese,Chinese,3500,4.4,424,"Fine Dining, Bar",False,11.1
Tandoor-De-Naal,BTM,Fast Food,Fast Food,200,3.8,35,"Takeaway, Delivery",False,9.3
Urban Solace - Caf for the Soul,Ulsoor,Cafe,"Cafe, American, Continental, Steak",800,3.9,464,"Cafe, Casual Dining",False,9.9
Delite Chaat House,Koramangala 6th Block,Street Food,"Street Food, Gujarati",300,3.9,498,Quick Bites,True,11.2
Paratha Merchant,Kumaraswamy Layout,North Indian,North Indian,300,3.1,39,Quick Bites,True,7.9
Freeze It,Jayanagar,Ice Cream,Ice Cream,300,3.5,35,Dessert Parlor,True,11.6
Pizza Mane,Banashankari,Pizza,"Pizza, Sandwich, Burger, Fast Food",150,3.5,32,Quick Bites,True,4.2
NEW SUNRISE RESTAURANTS,JP Nagar,North Indian,"North Indian, Chinese, Biryani",500,2.7,39,Casual Dining,False,9.1
The Humming Tree,Indiranagar,Fast Food,"Fast Food, European",1400,4.0,2418,Lounge,False,7.7
Mojo Pizza - 2X Toppings,New BEL Road,Pizza,Pizza,600,4.2,50,"Takeaway, Delivery",True,6.6
Kudil Kerala Kitchen,Marathahalli,Kerala,Kerala,300,3.8,47,Quick Bites,False,8.6
Lakeview Milkbar,Indiranagar,Desserts,"Desserts, Cafe, Bakery",500,2.9,539,"Dessert Parlor, Cafe",False,5.3
Silbatti,HSR,North Indian,North Indian,750,4.0,1551,Casual Dining,False,2.1
Cake Dilim,Kaggadasapura,Bakery,"Bakery, Fast Food, Desserts",400,3.3,7,"Bakery, Quick Bites",True,4.4
Ovenstory Pizza,Old Airport Road,Pizza,Pizza,750,4.0,106,Delivery,True,0.7
Reddy Restaurant,Electronic City,South Indian,South Indian,300,3.2,6,Quick Bites,True,7.2
The Lobby Lounge - The Ritz-Carlton,Residency Road,Beverages,Beverages,2000,4.1,28,Casual Dining,True,10.5
Bake and Juice,BTM,Fast Food,"Fast Food, Beverages",400,3.5,15,Quick Bites,True,4.4
Pizza Stop,Domlur,Pizza,"Pizza, Italian",600,3.2,166,Quick Bites,True,4.7
Spice,Electronic City,Andhra,"Andhra, Chinese, North Indian",1500,3.3,4,"Casual Dining, Bar",True,2.8
Amrutha Sweets,Ejipura,Street Food,"Street Food, Mithai",200,3.5,13,Quick Bites,True,3.3
Malties - Radisson Blu,Marathahalli,Continental,"Continental, Fast Food",4500,4.3,53,Lounge,False,6.7
Haagen Dazs,Koramangala 7th Block,Ice Cream,"Ice Cream, Desserts",800,3.9,77,Dessert Parlor,True,4.4
NTR Cafe,Kammanahalli,Chinese,"Chinese, Fast Food",100,2.9,4,Quick Bites,True,7.2
Krutunga,HSR,Andhra,"Andhra, Biryani",500,3.6,289,Casual Dining,False,3.7
Lassi Shop,Bellandur,Beverages,"Beverages, Ice Cream, Fast Food",300,3.9,152,Beverage Shop,True,4.0
Shiv Shankar Chaats,Frazer Town,Street Food,Street Food,150,3.7,19,Quick Bites,True,0.6
Chai Kraft,Jayanagar,Beverages,"Beverages, Tea",100,4.1,30,Beverage Shop,True,9.7
Andal Mess,Domlur,Biryani,"Biryani, South Indian, North Indian",300,3.1,22,Mess,False,1.4
Srinidhi Sagar,Old Airport Road,South Indian,"South Indian, North Indian, Chinese",40,3.9,160,Quick Bites,True,2.9
Andhra Vilaas,Sarjapur Road,Andhra,"Andhra, North Indian, Biryani",350,3.7,52,Quick Bites,False,9.9
UP Style North Indian Food,Jayanagar,North Indian,North Indian,100,3.6,46,"Takeaway, Delivery",True,3.3
Foodizo,Banashankari,Desserts,"Desserts, Fast Food, Continental",300,3.6,24,Quick Bites,True,0.7
Vijayalakshmi Veg,Nagawara,South Indian,South Indian,200,3.9,28,Quick Bites,True,5.0
The Breakfeast,HSR,Continental,"Continental, North Indian, South Indian",200,3.4,10,"Takeaway, Delivery",True,5.3
Cochin Connection,Koramangala 6th Block,Kerala,"Kerala, South Indian",500,3.6,41,Food Court,True,1.0
Just Bake,Hennur,Bakery,"Bakery, Desserts",400,2.9,19,Bakery,True,7.0
Hotel Janatha,Wilson Garden,South Indian,South Indian,250,3.9,31,Quick Bites,True,1.4
Rawal Jalebi,Commercial Street,Desserts,Desserts,100,3.5,10,Dessert Parlor,True,11.0
Bangarpet Chat Express,Basavanagudi,Street Food,"Street Food, Fast Food",100,3.3,6,Quick Bites,True,8.8
Thrupthi Restaurant,Bannerghatta Road,Kerala,Kerala,150,3.4,15,Quick Bites,True,5.3
Cuppa,JP Nagar,Cafe,"Cafe, Fast Food",550,3.4,48,Cafe,True,11.4
Abhiruchi Hotel,BTM,Andhra,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600,3.5,735,Casual Dining,False,1.1
Sharaab Factory,Bellandur,Biryani,"Biryani, North Indian",1500,3.9,392,Bar,False,9.9
Drava,Koramangala 5th Block,Pizza,"Pizza, Continental, North Indian, Asian",1500,4.4,110,Lounge,True,6.3
Bombay Kulfis,HSR,Ice Cream,Ice Cream,200,3.8,41,Dessert Parlor,True,1.9
Ganesh Restaurant,Koramangala 5th Block,Chinese,"Chinese, Street Food",300,3.7,51,Quick Bites,True,6.9
Rock Stone Ice Cream Factory,BTM,Ice Cream,Ice Cream,230,4.0,128,Dessert Parlor,True,7.5
Fabelle Chocolate Boutique - ITC Gardenia,Richmond Road,Desserts,"Desserts, Ice Cream, Beverages",1250,4.5,232,Dessert Parlor,True,9.5
